Timestamp,hash-rate
2020-05-25 00:00:00,91494525.79228361
2020-05-26 00:00:00,90293241.95835565
2020-05-27 00:00:00,90471236.69303171
2020-05-28 00:00:00,92882000.95950739
2020-05-29 00:00:00,92882000.95950739
2020-05-30 00:00:00,94602038.01431309
2020-05-31 00:00:00,98579623.70355119
2020-06-01 00:00:00,102234702.44501321
2020-06-02 00:00:00,103202223.28834145
2020-06-03 00:00:00,103739734.86796822
2020-06-04 00:00:00,103847237.18389349
2020-06-05 00:00:00,105288528.17664048
2020-06-06 00:00:00,109091786.58629331
2020-06-07 00:00:00,111435315.22543462
2020-06-08 00:00:00,110815623.43783534
2020-06-09 00:00:00,112208528.24468692
2020-06-10 00:00:00,113943904.93806843
2020-06-11 00:00:00,114994337.85839017
2020-06-12 00:00:00,117511415.0908853
2020-06-13 00:00:00,115951097.54611002
2020-06-14 00:00:00,112245343.37726872
2020-06-15 00:00:00,113318061.68930158
2020-06-16 00:00:00,110977585.37213874
2020-06-17 00:00:00,110570811.73739888
2020-06-18 00:00:00,110046645.12823603
2020-06-19 00:00:00,105905233.95063557
2020-06-20 00:00:00,105926966.55685544
2020-06-21 00:00:00,105875824.18477473
2020-06-22 00:00:00,105663297.23398972
2020-06-23 00:00:00,108235120.84612942
2020-06-24 00:00:00,110749704.10207172
2020-06-25 00:00:00,110861798.94428028
2020-06-26 00:00:00,112767411.26182602
2020-06-27 00:00:00,115233497.79041472
2020-06-28 00:00:00,115345592.6326233
2020-06-29 00:00:00,115793972.00145757
2020-06-30 00:00:00,116018161.6858747
2020-07-01 00:00:00,114784987.49487369
2020-07-02 00:00:00,117362562.86205769
2020-07-03 00:00:00,119940130.74771555
2020-07-04 00:00:00,119827426.16113055
2020-07-05 00:00:00,121956640.8632954
2020-07-06 00:00:00,123413264.06763054
2020-07-07 00:00:00,124421541.56999883
2020-07-08 00:00:00,125990398.02477527
2020-07-09 00:00:00,124757395.9088744
2020-07-10 00:00:00,124757395.9088744
2020-07-11 00:00:00,124533213.7059834
2020-07-12 00:00:00,124421122.60453783
2020-07-13 00:00:00,123188120.4886371
2020-07-14 00:00:00,123224185.96614297
2020-07-15 00:00:00,122915681.28235182
2020-07-16 00:00:00,122988997.50264354
2020-07-17 00:00:00,121358766.03401925
2020-07-18 00:00:00,117847537.53861412
2020-07-19 00:00:00,116374944.77118155
2020-07-20 00:00:00,115473898.09459314
2020-07-21 00:00:00,115544420.58822857
2020-07-22 00:00:00,113203968.57204913
2020-07-23 00:00:00,113943058.68242157
2020-07-24 00:00:00,113943058.68242157
2020-07-25 00:00:00,119239871.14009084
2020-07-26 00:00:00,120718051.36083584
2020-07-27 00:00:00,124043956.85751183
2020-07-28 00:00:00,124990478.24995868
2020-07-29 00:00:00,126940916.24508926
2020-07-30 00:00:00,126909829.43703125
2020-07-31 00:00:00,126308844.85317625
2020-08-01 00:00:00,124781881.4207144
2020-08-02 00:00:00,123681091.53514755
2020-08-03 00:00:00,121087964.3059087
2020-08-04 00:00:00,122154894.82121411
2020-08-05 00:00:00,122154894.82121411
2020-08-06 00:00:00,119881689.13893883
2020-08-07 00:00:00,122394179.62987469
2020-08-08 00:00:00,122274537.22554442
2020-08-09 00:00:00,122872749.24719584
2020-08-10 00:00:00,124667385.31214999
2020-08-11 00:00:00,121699816.45820169
2020-08-12 00:00:00,122886223.95061514
2020-08-13 00:00:00,126347972.69387743
2020-08-14 00:00:00,125375833.91500758
2020-08-15 00:00:00,127289349.96388802
2020-08-16 00:00:00,129075393.19033515
2020-08-17 00:00:00,128705025.71407259
2020-08-18 00:00:00,127334807.63169731
2020-08-19 00:00:00,125649847.98439702
2020-08-20 00:00:00,123363117.03448941
2020-08-21 00:00:00,123242762.77396798
2020-08-22 00:00:00,121798511.64771049
2020-08-23 00:00:00,119391426.4372814
2020-08-24 00:00:00,119993197.73988868
2020-08-25 00:00:00,123297691.91400096
2020-08-26 00:00:00,122408096.68320665
2020-08-27 00:00:00,123504835.10932185
2020-08-28 00:00:00,122017801.82510357
2020-08-29 00:00:00,123686955.52615401
2020-08-30 00:00:00,125523152.51213114
2020-08-31 00:00:00,122462847.34276736
2020-09-01 00:00:00,122817197.05918731
2020-09-02 00:00:00,126059072.31151104
2020-09-03 00:00:00,126308447.33092056
2020-09-04 00:00:00,126308447.33092056
2020-09-05 00:00:00,122817197.05918731
2020-09-06 00:00:00,122193759.51066352
2020-09-07 00:00:00,125061572.23387298
2020-09-08 00:00:00,128038750.60213162
2020-09-09 00:00:00,127930089.15456915
2020-09-10 00:00:00,128329210.60868767
2020-09-11 00:00:00,131707283.00142749
2020-09-12 00:00:00,131873589.68471675
2020-09-13 00:00:00,135233596.35173264
2020-09-14 00:00:00,136485959.17091691
2020-09-15 00:00:00,136485692.07769793
2020-09-16 00:00:00,136608874.11025903
2020-09-17 00:00:00,137347966.30562565
2020-09-18 00:00:00,139811606.95684764
2020-09-19 00:00:00,143137521.8359973
2020-09-20 00:00:00,140550699.15221423
2020-09-21 00:00:00,139904505.85300234
2020-09-22 00:00:00,138113015.6593118
2020-09-23 00:00:00,136590567.76792598
2020-09-24 00:00:00,136974413.06759655
2020-09-25 00:00:00,133839259.63432518
2020-09-26 00:00:00,136694669.3221827
2020-09-27 00:00:00,138914905.9916785
2020-09-28 00:00:00,140454294.3307066
2020-09-29 00:00:00,138259695.9817893
2020-09-30 00:00:00,139905644.74347728
2020-10-01 00:00:00,141825918.2987799
2020-10-02 00:00:00,140042807.14028463
2020-10-03 00:00:00,135516448.0456427
