Timestamp,n-transactions
2020-11-13 23:00:00,273511
2020-11-14 23:00:00,252715
2020-11-15 23:00:00,311477
2020-11-16 23:00:00,347772
2020-11-17 23:00:00,362007
2020-11-18 23:00:00,311061
2020-11-19 23:00:00,348026
2020-11-20 23:00:00,311189
2020-11-21 23:00:00,271125
2020-11-22 23:00:00,297840
2020-11-23 23:00:00,333293
2020-11-24 23:00:00,361990
2020-11-25 23:00:00,323975
2020-11-26 23:00:00,322445
2020-11-27 23:00:00,293949
2020-11-28 23:00:00,263573
2020-11-29 23:00:00,256551
2020-11-30 23:00:00,378068
2020-12-01 23:00:00,327019
2020-12-02 23:00:00,346921
2020-12-03 23:00:00,318894
2020-12-04 23:00:00,282599
2020-12-05 23:00:00,258624
2020-12-06 23:00:00,300906
2020-12-07 23:00:00,330970
2020-12-08 23:00:00,321079
2020-12-09 23:00:00,313649
2020-12-10 23:00:00,304735
2020-12-11 23:00:00,295410
2020-12-12 23:00:00,276160
2020-12-13 23:00:00,314350
2020-12-14 23:00:00,320440
2020-12-15 23:00:00,315217
2020-12-16 23:00:00,309481
2020-12-17 23:00:00,375549
2020-12-18 23:00:00,343536
2020-12-19 23:00:00,282043
2020-12-20 23:00:00,269834
2020-12-21 23:00:00,324163
2020-12-22 23:00:00,338463
2020-12-23 23:00:00,269559
2020-12-24 23:00:00,303901
2020-12-25 23:00:00,273954
2020-12-26 23:00:00,309005
2020-12-27 23:00:00,308983
2020-12-28 23:00:00,336311
2020-12-29 23:00:00,338258
2020-12-30 23:00:00,344918
2020-12-31 23:00:00,258080
2021-01-01 23:00:00,297111
2021-01-02 23:00:00,359116
2021-01-03 23:00:00,373734
2021-01-04 23:00:00,354091
2021-01-05 23:00:00,397384
2021-01-06 23:00:00,401744
2021-01-07 23:00:00,358526
2021-01-08 23:00:00,321389
2021-01-09 23:00:00,331865
2021-01-10 23:00:00,333958
2021-01-11 23:00:00,336627
2021-01-12 23:00:00,319167
2021-01-13 23:00:00,338809
2021-01-14 23:00:00,344002
2021-01-15 23:00:00,308461
2021-01-16 23:00:00,271874
2021-01-17 23:00:00,313816
2021-01-18 23:00:00,325083
2021-01-19 23:00:00,314809
2021-01-20 23:00:00,290754
2021-01-21 23:00:00,326935
2021-01-22 23:00:00,305209
2021-01-23 23:00:00,253971
